variant,code,name,entry_ts,entry_price,entry_score,exit_ts,exit_price,exit_reason,pnl_pct,holding_sec,date,stop
q5_lower_4,027360,아주IB투자,2026-05-18 09:08:28.998295+09:00,16170.0,5.0,2026-05-18 09:09:07.991253+09:00,16270.0,grade_demote,0.6184291898577613,38.992958,2026-05-18,-1.5
q5_lower_4,066430,아이로보틱스,2026-05-18 09:11:47.007415+09:00,3740.0,5.5,2026-05-18 09:14:01.993759+09:00,3835.0,grade_demote,2.5401069518716577,134.986344,2026-05-18,-1.5
q5_lower_4,088350,한화생명,2026-05-18 13:17:54.264686+09:00,5710.0,5.0,2026-05-18 13:18:08.264129+09:00,5720.0,grade_demote,0.17513134851138354,13.999443,2026-05-18,-1.5
q5_lower_4,261780,차백신연구소,2026-05-18 11:51:40.264088+09:00,4410.0,4.0,2026-05-18 11:52:08.264099+09:00,4410.0,grade_demote,0.0,28.000011,2026-05-18,-1.5
q5_lower_4,290690,소룩스,2026-05-18 09:05:35.010999+09:00,7170.0,8.0,2026-05-18 09:05:58.988980+09:00,6680.0,stop_loss,-6.834030683403068,23.977981,2026-05-18,-1.5
q5_lower_4,321370,센서뷰,2026-05-18 09:18:31.994402+09:00,3600.0,4.0,2026-05-18 09:18:50.000363+09:00,3640.0,grade_demote,1.1111111111111112,18.005961,2026-05-18,-1.5
q5_inv_6,001740,SK네트웍스,2026-05-18 09:22:35.007773+09:00,9330.0,8.0,2026-05-18 09:22:59.003495+09:00,9400.0,grade_demote,0.7502679528403001,23.995722,2026-05-18,-2.0
q5_inv_6,003280,흥아해운,2026-05-18 09:05:35.010999+09:00,2825.0,7.0,2026-05-18 09:05:58.988980+09:00,2845.0,grade_demote,0.7079646017699115,23.977981,2026-05-18,-2.0
q5_inv_6,005930,삼성전자,2026-05-18 09:56:34.991239+09:00,276000.0,7.0,2026-05-18 09:57:14.030384+09:00,276000.0,grade_demote,0.0,39.039145,2026-05-18,-2.0
q5_inv_6,010170,대한광통신,2026-05-18 10:41:25.996905+09:00,23550.0,8.0,2026-05-18 10:42:04.989168+09:00,23450.0,grade_demote,-0.42462845010615713,38.992263,2026-05-18,-2.0
q5_inv_6,011000,진원생명과학,2026-05-18 09:22:35.007773+09:00,1199.0,6.5,2026-05-18 09:25:04.995535+09:00,1180.0,grade_demote,-1.58465387823186,149.987762,2026-05-18,-2.0
q5_inv_6,021880,메이슨캐피탈,2026-05-18 09:07:56.003561+09:00,189.0,6.0,2026-05-18 09:08:11.017342+09:00,188.0,grade_demote,-0.5291005291005291,15.013781,2026-05-18,-2.0
q5_inv_6,027360,아주IB투자,2026-05-18 09:08:49.995390+09:00,16370.0,10.0,2026-05-18 09:09:07.991253+09:00,16270.0,grade_demote,-0.6108735491753208,17.995863,2026-05-18,-2.0
q5_inv_6,066430,아이로보틱스,2026-05-18 09:12:02.000585+09:00,3750.0,7.5,2026-05-18 09:14:01.993759+09:00,3835.0,grade_demote,2.2666666666666666,119.993174,2026-05-18,-2.0
q5_inv_6,088350,한화생명,2026-05-18 13:20:38.264639+09:00,5720.0,6.0,2026-05-18 13:21:14.264098+09:00,5730.0,grade_demote,0.17482517482517482,35.999459,2026-05-18,-2.0
q5_inv_6,290690,소룩스,2026-05-18 09:05:35.010999+09:00,7170.0,8.0,2026-05-18 09:05:58.988980+09:00,6680.0,stop_loss,-6.834030683403068,23.977981,2026-05-18,-2.0
q5_inv_6,321370,센서뷰,2026-05-18 09:19:14.003207+09:00,3745.0,6.5,2026-05-18 09:21:46.991847+09:00,3800.0,grade_demote,1.4686248331108143,152.98864,2026-05-18,-2.0
q5_inv_6,001740,SK네트웍스,2026-05-18 09:22:35.007773+09:00,9330.0,8.0,2026-05-18 09:22:59.003495+09:00,9400.0,grade_demote,0.7502679528403001,23.995722,2026-05-18,-1.5
q5_inv_6,003280,흥아해운,2026-05-18 09:05:35.010999+09:00,2825.0,7.0,2026-05-18 09:05:58.988980+09:00,2845.0,grade_demote,0.7079646017699115,23.977981,2026-05-18,-1.5
q5_inv_6,005930,삼성전자,2026-05-18 09:56:34.991239+09:00,276000.0,7.0,2026-05-18 09:57:14.030384+09:00,276000.0,grade_demote,0.0,39.039145,2026-05-18,-1.5
q5_inv_6,010170,대한광통신,2026-05-18 10:41:25.996905+09:00,23550.0,8.0,2026-05-18 10:42:04.989168+09:00,23450.0,grade_demote,-0.42462845010615713,38.992263,2026-05-18,-1.5
q5_inv_6,011000,진원생명과학,2026-05-18 09:22:35.007773+09:00,1199.0,6.5,2026-05-18 09:25:04.995535+09:00,1180.0,stop_loss,-1.58465387823186,149.987762,2026-05-18,-1.5
q5_inv_6,021880,메이슨캐피탈,2026-05-18 09:07:56.003561+09:00,189.0,6.0,2026-05-18 09:08:11.017342+09:00,188.0,grade_demote,-0.5291005291005291,15.013781,2026-05-18,-1.5
q5_inv_6,027360,아주IB투자,2026-05-18 09:08:49.995390+09:00,16370.0,10.0,2026-05-18 09:09:07.991253+09:00,16270.0,grade_demote,-0.6108735491753208,17.995863,2026-05-18,-1.5
q5_inv_6,066430,아이로보틱스,2026-05-18 09:12:02.000585+09:00,3750.0,7.5,2026-05-18 09:14:01.993759+09:00,3835.0,grade_demote,2.2666666666666666,119.993174,2026-05-18,-1.5
q5_inv_6,088350,한화생명,2026-05-18 13:20:38.264639+09:00,5720.0,6.0,2026-05-18 13:21:14.264098+09:00,5730.0,grade_demote,0.17482517482517482,35.999459,2026-05-18,-1.5
q5_inv_6,290690,소룩스,2026-05-18 09:05:35.010999+09:00,7170.0,8.0,2026-05-18 09:05:58.988980+09:00,6680.0,stop_loss,-6.834030683403068,23.977981,2026-05-18,-1.5
q5_inv_6,321370,센서뷰,2026-05-18 09:19:14.003207+09:00,3745.0,6.5,2026-05-18 09:21:46.991847+09:00,3800.0,grade_demote,1.4686248331108143,152.98864,2026-05-18,-1.5
q5_inv_7,001740,SK네트웍스,2026-05-18 09:22:35.007773+09:00,9330.0,8.0,2026-05-18 09:22:59.003495+09:00,9400.0,grade_demote,0.7502679528403001,23.995722,2026-05-18,-2.0
q5_inv_7,003280,흥아해운,2026-05-18 09:05:35.010999+09:00,2825.0,7.0,2026-05-18 09:05:58.988980+09:00,2845.0,grade_demote,0.7079646017699115,23.977981,2026-05-18,-2.0
q5_inv_7,005930,삼성전자,2026-05-18 09:56:34.991239+09:00,276000.0,7.0,2026-05-18 09:57:14.030384+09:00,276000.0,grade_demote,0.0,39.039145,2026-05-18,-2.0
q5_inv_7,010170,대한광통신,2026-05-18 10:41:25.996905+09:00,23550.0,8.0,2026-05-18 10:41:46.994655+09:00,23550.0,grade_demote,0.0,20.99775,2026-05-18,-2.0
q5_inv_7,011000,진원생명과학,2026-05-18 09:26:20.001253+09:00,1213.0,8.0,2026-05-18 09:27:02.016865+09:00,1188.0,stop_loss,-2.061005770816158,42.015612,2026-05-18,-2.0
q5_inv_7,021880,메이슨캐피탈,2026-05-18 09:19:34.990003+09:00,190.0,7.0,2026-05-18 09:19:58.990997+09:00,187.0,grade_demote,-1.5789473684210527,24.000994,2026-05-18,-2.0
q5_inv_7,027360,아주IB투자,2026-05-18 09:08:49.995390+09:00,16370.0,10.0,2026-05-18 09:09:07.991253+09:00,16270.0,grade_demote,-0.6108735491753208,17.995863,2026-05-18,-2.0
q5_inv_7,066430,아이로보틱스,2026-05-18 09:12:02.000585+09:00,3750.0,7.5,2026-05-18 09:14:01.993759+09:00,3835.0,grade_demote,2.2666666666666666,119.993174,2026-05-18,-2.0
q5_inv_7,088350,한화생명,2026-05-18 13:20:54.264313+09:00,5730.0,7.0,2026-05-18 13:21:14.264098+09:00,5730.0,grade_demote,0.0,19.999785,2026-05-18,-2.0
q5_inv_7,290690,소룩스,2026-05-18 09:05:35.010999+09:00,7170.0,8.0,2026-05-18 09:05:58.988980+09:00,6680.0,stop_loss,-6.834030683403068,23.977981,2026-05-18,-2.0
q5_inv_7,321370,센서뷰,2026-05-18 09:19:34.990003+09:00,3775.0,7.5,2026-05-18 09:21:46.991847+09:00,3800.0,grade_demote,0.6622516556291391,132.001844,2026-05-18,-2.0
q5_inv_7,001740,SK네트웍스,2026-05-18 09:22:35.007773+09:00,9330.0,8.0,2026-05-18 09:22:59.003495+09:00,9400.0,grade_demote,0.7502679528403001,23.995722,2026-05-18,-1.5
q5_inv_7,003280,흥아해운,2026-05-18 09:05:35.010999+09:00,2825.0,7.0,2026-05-18 09:05:58.988980+09:00,2845.0,grade_demote,0.7079646017699115,23.977981,2026-05-18,-1.5
q5_inv_7,005930,삼성전자,2026-05-18 09:56:34.991239+09:00,276000.0,7.0,2026-05-18 09:57:14.030384+09:00,276000.0,grade_demote,0.0,39.039145,2026-05-18,-1.5
q5_inv_7,010170,대한광통신,2026-05-18 10:41:25.996905+09:00,23550.0,8.0,2026-05-18 10:41:46.994655+09:00,23550.0,grade_demote,0.0,20.99775,2026-05-18,-1.5
q5_inv_7,011000,진원생명과학,2026-05-18 09:26:20.001253+09:00,1213.0,8.0,2026-05-18 09:27:02.016865+09:00,1188.0,stop_loss,-2.061005770816158,42.015612,2026-05-18,-1.5
q5_inv_7,021880,메이슨캐피탈,2026-05-18 09:19:34.990003+09:00,190.0,7.0,2026-05-18 09:19:58.990997+09:00,187.0,stop_loss,-1.5789473684210527,24.000994,2026-05-18,-1.5
q5_inv_7,027360,아주IB투자,2026-05-18 09:08:49.995390+09:00,16370.0,10.0,2026-05-18 09:09:07.991253+09:00,16270.0,grade_demote,-0.6108735491753208,17.995863,2026-05-18,-1.5
q5_inv_7,066430,아이로보틱스,2026-05-18 09:12:02.000585+09:00,3750.0,7.5,2026-05-18 09:14:01.993759+09:00,3835.0,grade_demote,2.2666666666666666,119.993174,2026-05-18,-1.5
q5_inv_7,088350,한화생명,2026-05-18 13:20:54.264313+09:00,5730.0,7.0,2026-05-18 13:21:14.264098+09:00,5730.0,grade_demote,0.0,19.999785,2026-05-18,-1.5
q5_inv_7,290690,소룩스,2026-05-18 09:05:35.010999+09:00,7170.0,8.0,2026-05-18 09:05:58.988980+09:00,6680.0,stop_loss,-6.834030683403068,23.977981,2026-05-18,-1.5
q5_inv_7,321370,센서뷰,2026-05-18 09:19:34.990003+09:00,3775.0,7.5,2026-05-18 09:21:46.991847+09:00,3800.0,grade_demote,0.6622516556291391,132.001844,2026-05-18,-1.5
r14i_dist_high,001740,SK네트웍스,2026-05-18 09:22:35.007773+09:00,9330.0,8.0,2026-05-18 09:22:59.003495+09:00,9400.0,grade_demote,0.7502679528403001,23.995722,2026-05-18,-2.0
r14i_dist_high,003280,흥아해운,2026-05-18 09:05:35.010999+09:00,2825.0,7.0,2026-05-18 09:05:58.988980+09:00,2845.0,grade_demote,0.7079646017699115,23.977981,2026-05-18,-2.0
r14i_dist_high,005930,삼성전자,2026-05-18 09:49:53.009203+09:00,272750.0,5.0,2026-05-18 09:50:14.004431+09:00,273000.0,grade_demote,0.09165902841429881,20.995228,2026-05-18,-2.0
r14i_dist_high,010170,대한광통신,2026-05-18 10:19:52.991905+09:00,23100.0,5.0,2026-05-18 10:20:37.988978+09:00,23100.0,grade_demote,0.0,44.997073,2026-05-18,-2.0
r14i_dist_high,011000,진원생명과학,2026-05-18 09:21:46.991847+09:00,1175.0,5.5,2026-05-18 09:22:11.003031+09:00,1174.0,grade_demote,-0.0851063829787234,24.011184,2026-05-18,-2.0
r14i_dist_high,021880,메이슨캐피탈,2026-05-18 09:07:56.003561+09:00,189.0,6.0,2026-05-18 09:08:11.017342+09:00,188.0,grade_demote,-0.5291005291005291,15.013781,2026-05-18,-2.0
r14i_dist_high,027360,아주IB투자,2026-05-18 09:08:28.998295+09:00,16170.0,5.0,2026-05-18 09:09:07.991253+09:00,16270.0,grade_demote,0.6184291898577613,38.992958,2026-05-18,-2.0
r14i_dist_high,066430,아이로보틱스,2026-05-18 09:11:47.007415+09:00,3740.0,5.5,2026-05-18 09:14:01.993759+09:00,3835.0,grade_demote,2.5401069518716577,134.986344,2026-05-18,-2.0
r14i_dist_high,088350,한화생명,2026-05-18 13:17:54.264686+09:00,5710.0,5.0,2026-05-18 13:18:08.264129+09:00,5720.0,grade_demote,0.17513134851138354,13.999443,2026-05-18,-2.0
r14i_dist_high,261780,차백신연구소,2026-05-18 11:55:50.265351+09:00,4535.0,5.0,2026-05-18 11:56:06.264163+09:00,4580.0,grade_demote,0.9922822491730982,15.998812000000001,2026-05-18,-2.0
r14i_dist_high,290690,소룩스,2026-05-18 09:05:35.010999+09:00,7170.0,8.0,2026-05-18 09:05:58.988980+09:00,6680.0,stop_loss,-6.834030683403068,23.977981,2026-05-18,-2.0
r14i_dist_high,321370,센서뷰,2026-05-18 09:19:14.003207+09:00,3745.0,6.5,2026-05-18 09:21:46.991847+09:00,3800.0,grade_demote,1.4686248331108143,152.98864,2026-05-18,-2.0
r14i_dist_high,001740,SK네트웍스,2026-05-18 09:22:35.007773+09:00,9330.0,8.0,2026-05-18 09:22:59.003495+09:00,9400.0,grade_demote,0.7502679528403001,23.995722,2026-05-18,-1.5
r14i_dist_high,003280,흥아해운,2026-05-18 09:05:35.010999+09:00,2825.0,7.0,2026-05-18 09:05:58.988980+09:00,2845.0,grade_demote,0.7079646017699115,23.977981,2026-05-18,-1.5
r14i_dist_high,005930,삼성전자,2026-05-18 09:49:53.009203+09:00,272750.0,5.0,2026-05-18 09:50:14.004431+09:00,273000.0,grade_demote,0.09165902841429881,20.995228,2026-05-18,-1.5
r14i_dist_high,010170,대한광통신,2026-05-18 10:19:52.991905+09:00,23100.0,5.0,2026-05-18 10:20:37.988978+09:00,23100.0,grade_demote,0.0,44.997073,2026-05-18,-1.5
r14i_dist_high,011000,진원생명과학,2026-05-18 09:21:46.991847+09:00,1175.0,5.5,2026-05-18 09:22:11.003031+09:00,1174.0,grade_demote,-0.0851063829787234,24.011184,2026-05-18,-1.5
r14i_dist_high,021880,메이슨캐피탈,2026-05-18 09:07:56.003561+09:00,189.0,6.0,2026-05-18 09:08:11.017342+09:00,188.0,grade_demote,-0.5291005291005291,15.013781,2026-05-18,-1.5
r14i_dist_high,027360,아주IB투자,2026-05-18 09:08:28.998295+09:00,16170.0,5.0,2026-05-18 09:09:07.991253+09:00,16270.0,grade_demote,0.6184291898577613,38.992958,2026-05-18,-1.5
r14i_dist_high,066430,아이로보틱스,2026-05-18 09:11:47.007415+09:00,3740.0,5.5,2026-05-18 09:14:01.993759+09:00,3835.0,grade_demote,2.5401069518716577,134.986344,2026-05-18,-1.5
r14i_dist_high,088350,한화생명,2026-05-18 13:17:54.264686+09:00,5710.0,5.0,2026-05-18 13:18:08.264129+09:00,5720.0,grade_demote,0.17513134851138354,13.999443,2026-05-18,-1.5
r14i_dist_high,261780,차백신연구소,2026-05-18 11:55:50.265351+09:00,4535.0,5.0,2026-05-18 11:56:06.264163+09:00,4580.0,grade_demote,0.9922822491730982,15.998812000000001,2026-05-18,-1.5
r14i_dist_high,290690,소룩스,2026-05-18 09:05:35.010999+09:00,7170.0,8.0,2026-05-18 09:05:58.988980+09:00,6680.0,stop_loss,-6.834030683403068,23.977981,2026-05-18,-1.5
r14i_dist_high,321370,센서뷰,2026-05-18 09:19:14.003207+09:00,3745.0,6.5,2026-05-18 09:21:46.991847+09:00,3800.0,grade_demote,1.4686248331108143,152.98864,2026-05-18,-1.5
r14j_consolidation,001740,SK네트웍스,2026-05-18 09:22:35.007773+09:00,9330.0,8.0,2026-05-18 09:22:59.003495+09:00,9400.0,grade_demote,0.7502679528403001,23.995722,2026-05-18,-2.0
r14j_consolidation,003280,흥아해운,2026-05-18 09:05:35.010999+09:00,2825.0,7.0,2026-05-18 09:05:58.988980+09:00,2845.0,grade_demote,0.7079646017699115,23.977981,2026-05-18,-2.0
r14j_consolidation,005930,삼성전자,2026-05-18 09:49:53.009203+09:00,272750.0,5.0,2026-05-18 09:50:14.004431+09:00,273000.0,grade_demote,0.09165902841429881,20.995228,2026-05-18,-2.0
r14j_consolidation,010170,대한광통신,2026-05-18 10:19:52.991905+09:00,23100.0,5.0,2026-05-18 10:20:37.988978+09:00,23100.0,grade_demote,0.0,44.997073,2026-05-18,-2.0
r14j_consolidation,011000,진원생명과학,2026-05-18 09:21:46.991847+09:00,1175.0,5.5,2026-05-18 09:22:11.003031+09:00,1174.0,grade_demote,-0.0851063829787234,24.011184,2026-05-18,-2.0
r14j_consolidation,021880,메이슨캐피탈,2026-05-18 09:07:56.003561+09:00,189.0,6.0,2026-05-18 09:08:11.017342+09:00,188.0,grade_demote,-0.5291005291005291,15.013781,2026-05-18,-2.0
r14j_consolidation,027360,아주IB투자,2026-05-18 09:08:28.998295+09:00,16170.0,5.0,2026-05-18 09:09:07.991253+09:00,16270.0,grade_demote,0.6184291898577613,38.992958,2026-05-18,-2.0
r14j_consolidation,066430,아이로보틱스,2026-05-18 09:11:47.007415+09:00,3740.0,5.5,2026-05-18 09:14:01.993759+09:00,3835.0,grade_demote,2.5401069518716577,134.986344,2026-05-18,-2.0
r14j_consolidation,088350,한화생명,2026-05-18 13:17:54.264686+09:00,5710.0,5.0,2026-05-18 13:18:08.264129+09:00,5720.0,grade_demote,0.17513134851138354,13.999443,2026-05-18,-2.0
r14j_consolidation,261780,차백신연구소,2026-05-18 11:55:50.265351+09:00,4535.0,5.0,2026-05-18 11:56:06.264163+09:00,4580.0,grade_demote,0.9922822491730982,15.998812000000001,2026-05-18,-2.0
r14j_consolidation,290690,소룩스,2026-05-18 09:05:35.010999+09:00,7170.0,8.0,2026-05-18 09:05:58.988980+09:00,6680.0,stop_loss,-6.834030683403068,23.977981,2026-05-18,-2.0
r14j_consolidation,321370,센서뷰,2026-05-18 09:19:14.003207+09:00,3745.0,6.5,2026-05-18 09:21:46.991847+09:00,3800.0,grade_demote,1.4686248331108143,152.98864,2026-05-18,-2.0
r14j_consolidation,001740,SK네트웍스,2026-05-18 09:22:35.007773+09:00,9330.0,8.0,2026-05-18 09:22:59.003495+09:00,9400.0,grade_demote,0.7502679528403001,23.995722,2026-05-18,-1.5
r14j_consolidation,003280,흥아해운,2026-05-18 09:05:35.010999+09:00,2825.0,7.0,2026-05-18 09:05:58.988980+09:00,2845.0,grade_demote,0.7079646017699115,23.977981,2026-05-18,-1.5
r14j_consolidation,005930,삼성전자,2026-05-18 09:49:53.009203+09:00,272750.0,5.0,2026-05-18 09:50:14.004431+09:00,273000.0,grade_demote,0.09165902841429881,20.995228,2026-05-18,-1.5
r14j_consolidation,010170,대한광통신,2026-05-18 10:19:52.991905+09:00,23100.0,5.0,2026-05-18 10:20:37.988978+09:00,23100.0,grade_demote,0.0,44.997073,2026-05-18,-1.5
r14j_consolidation,011000,진원생명과학,2026-05-18 09:21:46.991847+09:00,1175.0,5.5,2026-05-18 09:22:11.003031+09:00,1174.0,grade_demote,-0.0851063829787234,24.011184,2026-05-18,-1.5
r14j_consolidation,021880,메이슨캐피탈,2026-05-18 09:07:56.003561+09:00,189.0,6.0,2026-05-18 09:08:11.017342+09:00,188.0,grade_demote,-0.5291005291005291,15.013781,2026-05-18,-1.5
