variant,code,name,entry_ts,entry_price,entry_score,entry_daily_return,entry_dist_from_high,entry_recent_5m_change,entry_bb_position,entry_bullish_5,exit_ts,exit_price,exit_reason,pnl_pct
kl_only,012330,현대모비스,10:09:00,549000.0,7.0,4.57,,1.1049723756906076,-0.033670731703171454,2.0,10:09:02,549000.0,grade_demote,0.0
kl_only,067170,오텍,09:01:40,4095.0,7.0,12.04,,,,0.0,09:02:02,4075.0,grade_demote,-0.4884004884004884
p1_plus_kl,253840,수젠텍,09:46:38,8010.0,8.5,20.81,,4.296875,-0.23734223231946946,3.0,09:46:42,8030.0,grade_demote,0.24968789013732834
p1_plus_kl,036930,주성엔지니어링,09:01:04,183500.0,7.0,3.73,,,,0.0,09:01:26,183700.0,grade_demote,0.10899182561307902
p1_plus_kl,012330,현대모비스,10:09:00,549000.0,7.0,4.57,,1.1049723756906076,-0.033670731703171454,2.0,10:09:02,549000.0,grade_demote,0.0
p1_plus_kl,067170,오텍,09:01:40,4095.0,7.0,12.04,,,,0.0,09:02:02,4075.0,grade_demote,-0.4884004884004884
p0_p1_plus_kl_combo,253840,수젠텍,09:18:32,7500.0,8.0,13.12,,13.122171945701359,,0.0,09:18:36,7510.0,grade_demote,0.13333333333333333
p0_p1_plus_kl_combo,036930,주성엔지니어링,09:01:02,181900.0,6.0,2.83,,,,0.0,09:01:30,183900.0,grade_demote,1.0995052226498077
p0_p1_plus_kl_combo,012330,현대모비스,10:09:00,549000.0,7.0,4.57,,1.1049723756906076,-0.033670731703171454,2.0,10:09:02,549000.0,grade_demote,0.0
p0_p1_plus_kl_combo,067170,오텍,09:01:40,4095.0,7.0,12.04,,,,0.0,09:02:02,4075.0,grade_demote,-0.4884004884004884
