date,code,tv_rank,vol_rank,ret,drop_pct,close,high,gap_pct,hold_close_pct,is_52w_high,name
2026-02-24,000660,2,108,5.6782334384858135,0.0,1005000,1005000,0.6965174129353234,1.2935323383084576,True,SK하이닉스
2026-02-24,005440,43,51,20.192307692307686,3.747433264887064,18750,19480,-1.8133333333333335,-2.7199999999999998,True,현대지에프홀딩스
2026-02-24,006340,4,3,19.669117647058833,4.685212298682284,6510,6830,7.834101382488479,-4.915514592933948,True,대원전선
2026-02-24,006400,3,151,7.662835249042144,1.288056206088993,421500,427000,0.11862396204033215,2.7283511269276395,True,삼성SDI
2026-02-24,008930,30,107,18.596491228070168,8.64864864864865,50700,55500,-1.183431952662722,-7.889546351084813,True,한미사이언스
2026-02-24,010130,45,1588,8.589669181659886,0.8479067302596714,1871000,1887000,-0.5879208979155532,13.041154462854088,False,고려아연
2026-02-24,011500,48,78,10.828025477707005,6.283662477558348,26100,27850,3.256704980842912,2.10727969348659,True,한농화성
2026-02-24,047040,29,17,8.133333333333326,4.023668639053255,8110,8450,1.972872996300863,7.891491985203452,True,대우건설
2026-02-24,048410,12,19,12.549240292628028,6.976744186046512,20000,21500,3.0,-4.7,True,현대바이오
2026-02-24,051910,39,537,5.41353383458647,0.2844950213371266,350500,351500,0.7132667617689016,10.556348074179743,False,LG화학
2026-02-24,096770,35,264,7.242990654205617,1.2903225806451613,137700,139500,-1.016702977487291,-4.720406681190995,True,SK이노베이션
2026-02-24,222080,13,13,17.564402810304447,4.502219403931516,15060,15770,0.2656042496679947,-4.51527224435591,True,씨아이에스
2026-02-24,319400,15,35,24.34944237918215,1.3274336283185841,33450,33900,11.509715994020926,6.278026905829597,False,현대무벡스
2026-02-24,402340,14,425,6.379310344827593,2.6813880126182967,617000,634000,2.106969205834684,4.862236628849271,True,SK스퀘어
2026-02-24,491000,41,207,5.196304849884537,5.005213764337852,91100,95900,0.5488474204171241,-2.634467618002195,,리브스메드
2026-02-25,000270,5,120,12.701149425287351,1.900950475237619,196100,199900,0.6629270780214177,5.04844467108618,True,기아
2026-02-25,000720,13,160,12.05776173285198,2.8785982478097623,155200,159800,3.221649484536082,4.381443298969072,True,현대건설
2026-02-25,0015G0,19,65,17.05639614855572,9.947089947089948,42550,47250,0.23501762632197415,0.23501762632197415,True,그린광학
2026-02-25,003490,21,45,9.245283018867934,2.689075630252101,28950,29750,-0.3454231433506045,-2.936096718480138,True,대한항공
2026-02-25,005380,3,112,9.160305343511443,2.054794520547945,572000,584000,0.34965034965034963,6.468531468531468,True,현대차
2026-02-25,006800,8,53,8.643915581499773,3.9525220981315834,72585,75572,-0.6860921678032652,0.9602534959013571,True,미래에셋증권
2026-02-25,010130,43,1643,13.041154462854099,3.3363802559414992,2115000,2188000,-1.8439716312056738,-2.8368794326241136,True,고려아연
2026-02-25,032830,40,442,9.82142857142858,5.202312138728324,246000,259500,-2.8455284552845526,-2.8455284552845526,True,삼성생명
2026-02-25,034220,29,22,5.405405405405395,1.984126984126984,14820,15120,0.5398110661268556,6.950067476383266,False,LG디스플레이
2026-02-25,047040,17,9,7.891491985203447,4.057017543859649,8750,9120,2.6285714285714286,14.857142857142858,True,대우건설
2026-02-25,051910,16,341,10.556348074179734,3.4869240348692405,387500,401500,0.0,0.6451612903225806,False,LG화학
2026-02-25,058610,48,296,11.085972850678738,3.0921052631578947,147300,152000,0.0,2.9871011541072643,False,에스피지
2026-02-25,277810,28,874,8.093278463648822,1.0050251256281406,788000,796000,0.0,11.6751269035533,True,레인보우로보틱스
2026-02-25,307950,7,299,14.45086705202312,6.60377358490566,495000,530000,-0.7070707070707071,2.0202020202020203,True,현대오토에버
2026-02-26,000270,24,193,5.048444671086183,0.9615384615384616,206000,208000,-3.1067961165048543,-0.24271844660194172,True,기아
2026-02-26,000660,2,88,7.95677799607073,0.0,1099000,1099000,-4.45859872611465,-3.4576888080072794,True,SK하이닉스
2026-02-26,001510,8,1,18.99364113906552,8.32800851970181,4304,4695,0.0,-1.161710037174721,True,SK증권
2026-02-26,005380,3,142,6.468531468531458,1.4563106796116505,609000,618000,-2.7914614121510675,10.673234811165845,True,현대차
2026-02-26,005930,1,12,7.125307125307123,0.45662100456621,218000,219000,-3.669724770642202,-0.6880733944954129,True,삼성전자
2026-02-26,010120,50,318,6.640106241699861,2.5485436893203883,160600,164800,-0.62266500622665,-1.9925280199252802,True,LS ELECTRIC
2026-02-26,011070,26,340,19.999999999999996,2.4045261669024045,345000,353500,-3.4782608695652173,-7.536231884057972,True,LG이노텍
2026-02-26,012330,20,398,12.6730564430245,0.3766478342749529,529000,531000,-4.158790170132325,-2.2684310018903595,True,현대모비스
2026-02-26,018880,34,4,5.629139072847678,1.9467213114754098,4785,4880,-1.9853709508881923,-3.0303030303030303,False,한온시스템
2026-02-26,034220,36,24,6.95006747638327,1.2461059190031152,15850,16050,-0.6309148264984227,-9.526813880126182,True,LG디스플레이
2026-02-26,035720,13,40,6.968641114982588,1.4446227929373996,61400,62300,-0.16286644951140067,1.4657980456026058,False,카카오
2026-02-26,036540,21,5,16.317991631799167,3.4722222222222223,8340,8640,-5.515587529976019,-5.275779376498801,True,SFA반도체
2026-02-26,047040,9,2,14.857142857142858,7.373271889400922,10050,10850,0.0,0.8955223880597015,True,대우건설
2026-02-26,058470,46,197,9.876543209876543,2.5547445255474455,106800,109600,-4.868913857677903,-0.5617977528089888,True,리노공업
2026-02-26,066570,11,84,10.052513128282081,1.6096579476861168,146700,149100,-1.3633265167007498,-0.6816632583503749,True,LG전자
2026-02-26,080220,5,14,16.551724137931046,6.972477064220184,50700,54500,-5.226824457593689,0.39447731755424065,True,제주반도체
2026-02-26,086520,6,66,5.136986301369872,3.052631578947368,184200,190000,-2.008686210640608,0.43431053203040176,True,에코프로
