date,time,name,setup,buy_score,dist_high,recent_5m,consec_bull,race,mfe,mae,cur_hold_s,cur_pnl,cur_reason,mat_hold_s,mat_pnl,mat_reason
05-18,09:22,SK네트웍스,chase,8.0,0.0,7.612456747404845,4,up,9.753483386923902,-4.823151125401929,83.99871,1.2861736334405145,E3_vol_drain,128.988962,-2.0,stop_-2%
05-18,09:41,SK네트웍스,chase,6.0,0.0,3.68763557483731,2,up,7.426778242677824,-1.882845188284519,240.035442,-1.4644351464435146,E3_vol_drain,506.999376,3.3472803347280333,trailing
05-18,09:51,SK네트웍스,chase,6.0,-0.8849557522123894,3.4907597535934287,4,down,1.8849206349206349,-6.944444444444445,21.021472,1.5873015873015872,E3_vol_drain,104.96649,0.2976190476190476,trailing
05-18,12:13,SK네트웍스,none,5.0,-10.516066212268745,2.2246941045606228,3,down,0.8705114254624592,-4.461371055495103,16.004275,0.8705114254624592,E1_vp<100,1384.010692,-2.0,stop_-2%
05-18,09:05,흥아해운,breakout,7.0,0.0,,0,up,6.548672566371681,-1.415929203539823,23.977981,0.7079646017699115,E3_vol_drain,122.983108,1.7699115044247788,bearish_candle
05-18,09:15,흥아해운,pullback,5.0,-1.5228426395939088,0.5181347150259068,3,up,3.436426116838488,-4.639175257731959,110.944239,-0.3436426116838488,E3_vol_drain,218.957344,2.0618556701030926,target_prevhigh
05-18,12:18,흥아해운,none,6.0,-8.637873754152823,0.5484460694698354,2,neither,0.18181818181818182,-1.4545454545454546,16.000286,0.0,E1_vp<100,1787.999852,-0.9090909090909091,eow
05-18,13:21,흥아해운,none,6.0,-8.471760797342192,0.7312614259597806,2,neither,0.3629764065335753,-1.0889292196007259,17.998881,0.0,E1_vp<100,1796.000018,-0.18148820326678766,eow
05-18,14:16,흥아해운,none,6.0,-8.637873754152823,0.7326007326007326,3,neither,1.8181818181818181,-0.36363636363636365,13.999927,-0.18181818181818182,E1_vp<100,773.999949,0.0,trailing
05-18,09:49,삼성전자,chase,5.0,-0.2742230347349177,1.2059369202226344,4,up,2.474793767186068,-0.09165902841429881,479.995219,1.374885426214482,E4_bearish_candle,1505.983016,0.916590284142988,trailing
05-18,10:02,삼성전자,breakout,6.0,0.0,1.0849909584086799,3,down,0.0,-2.23613595706619,414.036666,-0.8944543828264758,E2_bearish_div,1130.985441,-2.0,stop_-2%
05-18,10:31,삼성전자,breakout,5.0,-0.35778175313059035,1.0889292196007259,2,neither,1.3464991023339317,-0.8976660682226212,20.954051,-0.17953321364452424,E3_vol_drain,1415.955524,0.718132854578097,eow
05-18,10:42,삼성전자,breakout,7.0,0.0,1.0849909584086799,3,neither,0.9838998211091234,-0.17889087656529518,147.009042,0.4472271914132379,E3_vol_drain,753.004745,0.35778175313059035,eow
05-18,10:53,삼성전자,breakout,5.0,-0.1771479185119575,0.08880994671403197,2,up,2.0408163265306123,-0.44365572315882873,14.999482,0.08873114463176575,E2_bearish_div,1790.281635,2.0408163265306123,eow
05-18,11:17,삼성전자,breakout,5.0,0.0,2.13903743315508,2,neither,0.6980802792321117,-0.8726003490401396,481.99088,0.34904013961605584,E3_vol_drain,1793.988587,0.0,eow
05-18,11:28,삼성전자,breakout,5.0,-0.34662045060658575,-0.08688097306689835,1,down,0.34782608695652173,-2.086956521739131,223.986763,-0.5217391304347827,E3_vol_drain,1669.988835,-2.0,stop_-2%
05-18,11:57,삼성전자,pullback,5.0,-1.9064124783362217,0.3546099290780142,2,neither,0.6183745583038869,-1.0600706713780919,172.007409,0.17667844522968199,E2_bearish_div,1790.000015,-0.88339222614841,eow
05-18,12:08,삼성전자,pullback,5.0,-1.386481802426343,0.2643171806167401,5,neither,-0.17574692442882248,-1.5817223198594026,777.999854,-1.054481546572935,E2_bearish_div,1799.998807,-0.35149384885764495,eow
05-18,12:20,삼성전자,pullback,7.0,-2.2530329289428077,-0.2652519893899204,1,neither,0.8865248226950355,-0.7092198581560284,66.000096,-0.1773049645390071,E2_bearish_div,1791.999367,0.6205673758865249,eow
05-18,12:33,삼성전자,pullback,5.0,-2.2530329289428077,0.17761989342806395,2,neither,0.8865248226950355,-0.1773049645390071,41.988735,0.1773049645390071,E2_bearish_div,1795.990373,0.44326241134751776,eow
