date,code,rank,ret,drop_pct,close,next_open,next_close,gap_pct,hold_close_pct
2026-05-11,000660,1,11.506524317912215,3.540277065161621,1880000,1944000,1835000,3.404255319148936,-2.393617021276596
2026-05-11,010170,3,25.05592841163311,2.272727272727273,27950,30000,29100,7.334525939177102,4.114490161001789
2026-05-11,018880,7,20.125786163522008,2.218430034129693,5730,5730,5160,0.0,-9.947643979057592
2026-05-11,027360,13,11.746031746031749,4.710341093665403,17600,17810,16850,1.1931818181818183,-4.261363636363636
2026-05-11,277810,22,10.331632653061229,2.8089887640449436,865000,886000,855000,2.4277456647398843,-1.1560693641618496
2026-05-11,108490,23,12.855007473841562,4.187817258883249,377500,378500,345000,0.26490066225165565,-8.609271523178808
2026-05-11,036930,24,17.926565874730027,7.352941176470589,163800,165900,156000,1.282051282051282,-4.761904761904762
2026-05-11,017900,30,17.752007136485283,8.71369294605809,13200,14000,12610,6.0606060606060606,-4.46969696969697
2026-05-12,066570,6,17.996171027440976,5.130836326321191,184900,192800,191400,4.2725797728501895,3.515413737155219
2026-05-13,012330,7,18.430656934306565,4.13589364844904,649000,680000,650000,4.776579352850539,0.15408320493066258
2026-05-13,307950,10,13.658536585365844,3.319502074688797,699000,702000,689000,0.4291845493562232,-1.4306151645207439
2026-05-13,034220,12,11.05015673981191,4.57912457912458,14170,14370,15340,1.4114326040931546,8.256880733944955
2026-05-13,038500,18,12.590448625180905,7.928994082840236,15560,15650,14750,0.5784061696658097,-5.205655526992288
2026-05-13,332570,21,16.996699669966997,5.403602401601067,14180,14180,13220,0.0,-6.770098730606488
2026-05-14,066570,6,13.375130616509923,3.34075723830735,217000,256000,240500,17.972350230414747,10.829493087557603
2026-05-14,064400,7,17.14285714285715,2.6018099547511313,86100,93700,86600,8.826945412311266,0.5807200929152149
2026-05-14,322000,12,15.094339622641506,4.6875,244000,240500,196800,-1.4344262295081966,-19.34426229508197
2026-05-14,047040,15,12.60794473229707,0.0,32600,33100,28500,1.5337423312883436,-12.576687116564417
2026-05-14,009830,29,10.776361529548083,1.1375387797311272,47800,46850,40600,-1.9874476987447698,-15.062761506276152
2026-05-14,003230,30,11.119691119691112,2.6387009472259813,1439000,1452000,1444000,0.9034051424600417,0.34746351633078526
